# eta dependence H_0 for fixed d_S, theta_I, t, tildeGamma 
# d_S = 0.2, theta_I = 0.02, t = 0.2, tildeGamma = 0.005 
# H0 eta 
0.0 0.0 
0.014285714285714285 0.0008582327097392094 
0.02857142857142857 0.001713022778516537 
0.04285714285714286 0.0025608923145834517 
0.05714285714285714 0.0033982925032753067 
0.07142857142857142 0.004221567084058175 
0.08571428571428572 0.0051728246225821095 
0.09999999999999999 0.006121527724782852 
0.11428571428571428 0.007058863862537307 
0.12857142857142856 0.007981413751647957 
0.14285714285714285 0.00888550118739456 
0.15714285714285714 0.009767221497318995 
0.17142857142857143 0.01062238057695972 
0.18571428571428572 0.011446446965028036 
0.19999999999999998 0.012234499170464845 
0.21428571428571427 0.013160590908079185 
0.22857142857142856 0.014141025198986273 
0.24285714285714285 0.01509094284720595 
0.2571428571428571 0.016005262446108743 
0.2714285714285714 0.016878373990401086 
0.2857142857142857 0.017704063064500956 
0.3 0.0184914241568977 
0.3142857142857143 0.01956896942603728 
0.32857142857142857 0.02060703213899026 
0.34285714285714286 0.021599047399491828 
0.35714285714285715 0.02250511446130034 
0.37142857142857144 0.02322170077366591 
0.3857142857142857 0.024108407651585548 
0.39999999999999997 0.025129560281684202 
0.41428571428571426 0.02608360461450669 
0.42857142857142855 0.02696041210957942 
0.44285714285714284 0.027748443413436456 
0.45714285714285713 0.028861991768795316 
0.4714285714285714 0.030038300174244557 
0.4857142857142857 0.031138285725263858 
0.5 0.03189407323204714 
0.5142857142857142 0.03278166113581892 
0.5285714285714286 0.033939840175512416 
0.5428571428571428 0.03499908532761288 
0.5571428571428572 0.03594240141674826 
0.5714285714285714 0.03709791566697483 
0.5857142857142857 0.038459589764175614 
0.6 0.0394297186693751 
0.6142857142857142 0.040246908012357925 
0.6285714285714286 0.04156054387735168 
0.6428571428571428 0.04297269149410252 
0.6571428571428571 0.044249509404867 
0.6714285714285714 0.045200415457911265 
0.6857142857142857 0.04663899729940921 
0.7 0.04791904875865795 
