# eta dependence on tildeGamma for fixed d_S, theta_I, t, H0 
# d_S = 0.2, theta_I = 0.02, t = 0.2, H0 = 0.1 
# tildeGamma eta 
0.0 0.009167073252850804 
0.0020408163265306124 0.007693065600753431 
0.004081632653061225 0.006552976604833667 
0.006122448979591837 0.005649475561460923 
0.00816326530612245 0.004919006383505108 
0.010204081632653062 0.00431848573249322 
0.012244897959183675 0.003817717114562232 
0.014285714285714287 0.0033949687868012066 
0.0163265306122449 0.00303423868906588 
0.018367346938775512 0.0027235083201337116 
0.020408163265306124 0.0024616914588374093 
0.022448979591836737 0.0022547730452643325 
0.02448979591836735 0.0020738041524269806 
0.02653061224489796 0.0019145384442403267 
0.028571428571428574 0.001773574548023448 
0.030612244897959186 0.0016481602466148822 
0.0326530612244898 0.00153604800033943 
0.03469387755102041 0.0014353868905495352 
0.036734693877551024 0.0013446407998312258 
0.03877551020408164 0.0012625257540550914 
0.04081632653061225 0.0011879614377268658 
0.04285714285714286 0.0011200333147959437 
0.04489795918367347 0.0010579627712372951 
0.04693877551020409 0.001001083385463363 
0.0489795918367347 0.0009488219236105315 
0.05102040816326531 0.0009006830091125643 
0.05306122448979592 0.0008562366729876975 
0.05510204081632654 0.0008151081793345559 
0.05714285714285715 0.0007769696611196343 
0.05918367346938776 0.0007415332054719006 
0.06122448979591837 0.0007085451071018568 
0.06326530612244899 0.0006777810686945183 
0.0653061224489796 0.0006490421732615814 
0.0673469387755102 0.0006221514892176319 
0.06938775510204082 0.0005969511964757464 
0.07142857142857144 0.0005733001437507921 
0.07346938775510205 0.0005510717646081739 
0.07551020408163266 0.0005301522926672602 
0.07755102040816328 0.0005104392280349044 
0.07959183673469389 0.0004918400149457085 
0.0816326530612245 0.00047427089789610284 
0.0836734693877551 0.00045765592924309557 
0.08571428571428572 0.0004419261056875095 
0.08775510204081634 0.0004270186146871182 
0.08979591836734695 0.0004128761748811276 
0.09183673469387756 0.00039944645791131745 
0.09387755102040818 0.0003866815794930653 
0.09591836734693879 0.0003745376510124975 
0.0979591836734694 0.00036297438313968535 
0.1 0.0003519547350503386 
