# eta dependence on tildeGamma for fixed d_S, theta_I, t, H0 
# d_S = 0.2, theta_I = 0.02, t = 0.2, H0 = 0.5 
# tildeGamma eta 
0.0 0.04870326168168606 
0.0020408163265306124 0.04040236064074422 
0.004081632653061225 0.03398611032450642 
0.006122448979591837 0.029583437154769 
0.00816326530612245 0.025830351238383426 
0.010204081632653062 0.022575782030675118 
0.012244897959183675 0.019882681175585122 
0.014285714285714287 0.0179244436377474 
0.0163265306122449 0.0162018357442968 
0.018367346938775512 0.014674469800069395 
0.020408163265306124 0.013310795025117313 
0.022448979591836737 0.01208577056955363 
0.02448979591836735 0.011082273918011344 
0.02653061224489796 0.010328848425197205 
0.028571428571428574 0.009638150860988584 
0.030612244897959186 0.00900286153255623 
0.0326530612244898 0.008416725309491151 
0.03469387755102041 0.007874371086452005 
0.036734693877551024 0.007371165264583703 
0.03877551020408164 0.006903092448107682 
0.04081632653061225 0.0064666579092439004 
0.04285714285714286 0.006058807497145096 
0.04489795918367347 0.005676861568528961 
0.04693877551020409 0.005429277460341678 
0.0489795918367347 0.005207981978076162 
0.05102040816326531 0.004998671256824038 
0.05306122448979592 0.004800444429253873 
0.05510204081632654 0.00461248265908829 
0.05714285714285715 0.004434041001420018 
0.05918367346938776 0.004255642963513161 
0.06122448979591837 0.004072571861456107 
0.06326530612244899 0.0038984084903518753 
0.0653061224489796 0.003732535220709185 
0.0673469387755102 0.0035743884904573405 
0.06938775510204082 0.003423453232773584 
0.07142857142857144 0.0032792579454339194 
0.07346938775510205 0.0031413703244048048 
0.07551020408163266 0.0030093933913171492 
0.07755102040816328 0.002882962054960853 
0.07959183673469389 0.002761740053517434 
0.0816326530612245 0.0026454172314897746 
0.0836734693877551 0.0025337071108719536 
0.08571428571428572 0.0024263447215515667 
0.08775510204081634 0.002323084660143793 
0.08979591836734695 0.0022236993507434737 
0.09183673469387756 0.0021279952953561455 
0.09387755102040818 0.002035740174223646 
0.09591836734693879 0.0019467692073287582 
0.0979591836734694 0.0018752743595676182 
0.1 0.0018315907401856124 
