# eta dependence H_0 for fixed d_S, theta_I, t, tildeGamma 
# d_S = 0.2, theta_I = 0.02, t = 0.2, tildeGamma = 0 
# H0 eta 
0.0 0.0 
0.014285714285714285 0.0012828618979481906 
0.02857142857142857 0.0025610313523239158 
0.04285714285714286 0.0038297438355867634 
0.05714285714285714 0.005084089554727237 
0.07142857142857142 0.006396200570581088 
0.08571428571428572 0.007787479263103084 
0.09999999999999999 0.009167073252850804 
0.11428571428571428 0.010530337136559957 
0.12857142857142856 0.011872283680542363 
0.14285714285714285 0.013187486400309836 
0.15714285714285714 0.014469990706181175 
0.17142857142857143 0.01571321583994258 
0.18571428571428572 0.01692354273357533 
0.19999999999999998 0.018375031910660346 
0.21428571428571427 0.019793233217715006 
0.22857142857142856 0.021171086843096654 
0.24285714285714285 0.02250061969670849 
0.2571428571428571 0.02377279753143175 
0.2714285714285714 0.024977354293746937 
0.2857142857142857 0.026529642741555268 
0.3 0.028036930908855798 
0.3142857142857143 0.02948556050304307 
0.32857142857142857 0.03086392806823602 
0.34285714285714286 0.03201663037923077 
0.35714285714285715 0.03355142771778143 
0.37142857142857144 0.03503226037212523 
0.3857142857142857 0.036421781414207426 
0.39999999999999997 0.03770300550588689 
0.41428571428571426 0.039200889753783545 
0.42857142857142855 0.040920737137276675 
0.44285714285714284 0.04254497455611566 
0.45714285714285713 0.04397133776214858 
0.4714285714285714 0.04540908906669394 
0.4857142857142857 0.04712063972039415 
0.5 0.04870326168168606 
0.5142857142857142 0.050129631804443374 
0.5285714285714286 0.0520760204251755 
0.5428571428571428 0.05407600566968784 
0.5571428571428572 0.05555046387048178 
0.5714285714285714 0.05707873234567192 
0.5857142857142857 0.05921720855246596 
0.6 0.06119663128161509 
0.6142857142857142 0.06295013534516339 
0.6285714285714286 0.06510555871966855 
0.6428571428571428 0.06714048122031153 
0.6571428571428571 0.06893945974046982 
0.6714285714285714 0.07157885041716427 
0.6857142857142857 0.07389642794615985 
0.7 0.07568700851311277 
